Where papers came from,Papers,Paper_Name_Short,Was the landscape surrounding each field quantitatively measured at a spatial scale ? 500 m around the crop? (yes or no),Does the study consist of at least five crop fields that are at least 1 km apart from each other (yes or no),Are statistics reported as the univariate (or partial contribution) relationship between landscape composition and vector or vector-borne pathogen response? (yes or no),Was the vector-borne pathogen data collected from the crop?,Include for meta-analysis? (yes or no),"Location (state, country, region). List which one is provided",Croppping system,vector_or_pathogen_mod,"Vector or pathogen group (e.g.,  aphid, virus)",measurement of vector or pathogen (be consistent in naming),measurement_mod,"Grouping or individual vectors or pathogens used for analysis (list species if individual, provide description of group if grouped)",Specialist or generalist,Specialist_generalist_both_mod,Landscape category (original),Landscape_category_mod,Additonal information (not already listed) on why mutiple values (rows) are reported for the same spatial scale and landscape feature,Mode_of_pathogen_transmission,Spatial_scale_m_mod,Source in paper,Sample_size,P value,P_value_adj_1,Test statistic (type),Test statistic (raw),Test statisitc (raw sign edited for analysis),t_z_f_x2,r,AIC,Make note if the relationship was posititve (1) or negative (-1) (for future analysis/conversion),yi_from_ti_ri_pi_1,vi_from_ti_ri_pi_1
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,yes,yes,Arizona,fall melon,pathogen,virus,incidence (based on symptoms),incidence,cucurbit yellow stunting disorder virus (CYSDV),generalist,generalist,spring mellon with volunteers,Crop,,semipersistent,1500,in-text,47,0.0012,0.0012,,,,,,,1,0.495047707,0.022727273
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2011,non-persistent,500,table 1,19,< 0.001,0.001,,,,,,46.56,1,0.854019196,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2011,non-persistent,1000,table 1,19,< 0.001,0.001,,,,,,44.65,1,0.854019196,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2011,non-persistent,1500,table 1,19,0.001,0.001,,,,,,59.05,1,0.854019196,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2012,non-persistent,500,table 1,21,0.002,0.002,,,,,,107.4,1,0.749114577,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2012,non-persistent,1000,table 1,21,< 0.001,0.001,,,,,,98.8,1,0.802098393,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,crop,Crop,2012,non-persistent,1500,table 1,21,0.002,0.002,,,,,,106.7,1,0.749114577,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2011,,500,table 1,19,0.008,0.008,,,,,,92.75,-1,0.675762947,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2011,,1000,table 1,19,0.005,0.005,,,,,,92.15,-1,0.718203328,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2011,,1500,table 1,19,0.05,0.05,,,,,,96.01,-1,0.491656903,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2012,,500,table 1,21,0.014,0.014,,,,,,111.7,-1,0.586621399,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2012,,1000,table 1,21,0.045,0.045,,,,,,113.8,-1,0.474344202,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,NA,yes,New York,potato,vector,aphid,richness,diversity,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,crop,Crop,2012,,1500,table 1,21,0.283,0.283,,,,,,116.6,-1,0.250841984,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2011,non-persistent,500,fig 2,19,0.000037,0.000037,,,,,,,-1,1.102809495,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2011,non-persistent,1000,fig 2,19,0.000012,0.000012,,,,,,,-1,1.182051781,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2011,non-persistent,1500,fig 2,19,0.0014,0.0014,,,,,,,-1,0.826651397,0.0625
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2012,non-persistent,500,fig 2,21,0.0043,0.0043,,,,,,,-1,0.687964441,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2012,non-persistent,1000,fig 2,21,0.000165,0.000165,,,,,,,-1,0.931723637,0.055555556
WOS or BASE,"Claflin, S. B., L. E. Jones, J. S. Thaler, and A. G. Power. 2016. Crop?dominated landscapes have higher vector?borne plant virus prevalence.",Claflin_et_al_2016,yes,yes,yes,yes,yes,New York,potato,pathogen,virus,prevelalence (cumulative incidence - ELISA),incidence,Potato virus Y (PVY),generalist,generalist,unmanaged,Natural habitat,2012,non-persistent,1500,fig 2,21,0.0008,0.0008,,,,,,,-1,0.818739629,0.055555556
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,NA,yes,Spain,corn,vector,aphid,abundance,abundance,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,500,table 2,46,0.004,0.004,z,2.87,2.87,2.87,,,1,0.420194036,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,NA,yes,Spain,corn,vector,aphid,abundance,abundance,multiple species - not specified,"Species not listed, but likely both generalist and specialist",both,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,1000,table 2,46,0.004,0.004,z,2.86,2.86,2.86,,,1,0.418810054,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,maize dwarf mosaic virus (MDMV),generalist,generalist,cereals,Crop,,non-persistent,500,table 2,46,< 0.001,0.001,z,3.76,-3.76,-3.76,,,-1,-0.540184459,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,maize dwarf mosaic virus (MDMV),generalist,generalist,cereals,Crop,,non-persistent,1000,table 2,46,0.008,0.008,z,2.67,-2.67,-2.67,,,-1,-0.392371879,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,maize dwarf mosaic virus (MDMV),generalist,generalist,alfalfa,Crop,,non-persistent,1000,table 2,46,< 0.001,0.001,z,6.26,6.26,6.26,,,1,0.841020198,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,maize dwarf mosaic virus (MDMV),generalist,generalist,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,500,table 2,46,< 0.001,0.001,z,6.23,-6.23,-6.23,,,-1,-0.83772727,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,maize dwarf mosaic virus (MDMV),generalist,generalist,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,1000,table 2,46,< 0.001,0.001,z,3.67,-3.67,-3.67,,,-1,-0.528346597,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,sugarcane mosaic virus (SCMV),generalist,generalist,cereals,Crop,,non-persistent,500,table 2,46,< 0.001,0.001,z,5.04,-5.04,-5.04,,,-1,-0.700975586,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,sugarcane mosaic virus (SCMV),generalist,generalist,cereals,Crop,,non-persistent,1000,table 2,46,0.036,0.036,z,2.1,-2.1,-2.1,,,-1,-0.311523666,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,sugarcane mosaic virus (SCMV),generalist,generalist,alfalfa,Crop,,non-persistent,1000,table 2,46,< 0.001,0.001,z,6.17,6.17,6.17,,,1,0.831119079,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,sugarcane mosaic virus (SCMV),generalist,generalist,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,500,table 2,46,< 0.001,0.001,z,7.56,-7.56,-7.56,,,-1,-0.976798738,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, and M. A. Achon. 2020. Early planting, management of edges and non-crop habitats reduce potyvirus infection in maize. Agron. Sustain. Dev. 40.",Clemente_Orta_et_al_2020a,yes,yes,yes,yes,yes,Spain,corn,pathogen,virus,incidence (one collection each year - ELISA),incidence,sugarcane mosaic virus (SCMV),generalist,generalist,"non-crop habitats (nonproductive areas, long fallows, semi-natural habitats and repopulated forest)",Non-crop,,non-persistent,1000,table 2,46,< 0.001,0.001,z,3.42,-3.42,-3.42,,,-1,-0.495107313,0.023255814
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,Sitobion avenae,specialist,specialist,cereals,Crop,,,500,table 1,19,0.001,0.001,,,,,,,-1,0.854019196,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,Sitobion avenae,specialist,specialist,semi natural habitat,Natural habitat,,,500,table 1,19,0.042,0.042,,,,,,,1,0.510846501,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,Metopolophium dirhodum,specialist,specialist,semi natural habitat,Natural habitat,,,500,table 1,19,0.008,0.008,,,,,,,-1,0.675762947,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,Metopolophium dirhodum,specialist,specialist,cereals,Crop,,,500,table 1,19,0.562,0.562,,,,,,,-1,0.142960976,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,Rhopalosiphum padi,specialist,specialist,arable,Crop,,,500,table 1,19,0.112,0.112,,,,,,,1,0.396088901,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,beetle,abundance,abundance,Cereal leaf beetle,specialist,specialist,crop diversity,Crop,eggs,,500,table 1,19,0.038,0.038,,,,,,,1,0.521665845,0.0625
WOS or BASE,"Gonzalez, E., F. J. J. A. Bianchi, P. Eckerter, V. Pfaff, S. Weiler, and M. H. Entling. 2021. Ecological requirements drive the variable responses of wheat pests and natural enemies to the landscape context. Dryad.",Gonzalez_et_al_2021,yes,yes,yes,NA,yes,Germany,winter wheat,vector,beetle,abundance,abundance,Cereal leaf beetle,specialist,specialist,semi natural habitat,Natural habitat,larvae,,500,table 1,19,0.001,0.001,,,,,,,-1,0.854019196,0.0625
